#X,Y,AOA_az,AoA_el,Anchor_id
120,120,56,-29,6501
120,120,-76,-14,6502
120,120,-9,-6,6503
120,120,45,-10,6504
180,120,45,-25,6501
180,120,-74,-15,6502
180,120,-10,-7,6503
180,120,41,-11,6504
240,120,37,-22,6501
240,120,-72,-18,6502
240,120,-11,-7,6503
240,120,37,-11,6504
300,120,31,-19,6501
300,120,-68,-20,6502
300,120,-11,-7,6503
300,120,32,-12,6504
360,120,27,-17,6501
360,120,-63,-24,6502
360,120,-12,-8,6503
360,120,27,-13,6504
420,120,23,-15,6501
420,120,-56,-29,6502
420,120,-13,-9,6503
420,120,21,-13,6504
480,120,21,-13,6501
480,120,-45,-35,6502
480,120,-14,-9,6503
480,120,14,-14,6504
540,120,18,-12,6501
540,120,-27,-42,6502
540,120,-15,-10,6503
540,120,7,-14,6504
600,120,17,-11,6501
600,120,-0,-45,6502
600,120,-17,-11,6503
600,120,0,-14,6504
660,120,15,-10,6501
660,120,27,-42,6502
660,120,-18,-12,6503
660,120,-7,-14,6504
720,120,14,-9,6501
720,120,45,-35,6502
720,120,-21,-13,6503
720,120,-14,-14,6504
780,120,13,-9,6501
780,120,56,-29,6502
780,120,-23,-15,6503
780,120,-21,-13,6504
840,120,12,-8,6501
840,120,63,-24,6502
840,120,-27,-17,6503
840,120,-27,-13,6504
900,120,11,-7,6501
900,120,68,-20,6502
900,120,-31,-19,6503
900,120,-32,-12,6504
960,120,11,-7,6501
960,120,72,-18,6502
960,120,-37,-22,6503
960,120,-37,-11,6504
1020,120,10,-7,6501
1020,120,74,-15,6502
1020,120,-45,-25,6503
1020,120,-41,-11,6504
1080,120,9,-6,6501
1080,120,76,-14,6502
1080,120,-56,-29,6503
1080,120,-45,-10,6504
120,180,45,-35,6501
120,180,-69,-13,6502
120,180,-6,-6,6503
120,180,49,-11,6504
180,180,34,-29,6501
180,180,-67,-15,6502
180,180,-7,-7,6503
180,180,45,-11,6504
240,180,27,-24,6501
240,180,-63,-17,6502
240,180,-7,-7,6503
240,180,41,-12,6504
300,180,22,-20,6501
300,180,-59,-19,6502
300,180,-8,-8,6503
300,180,36,-13,6504
360,180,18,-18,6501
360,180,-53,-22,6502
360,180,-8,-8,6503
360,180,30,-14,6504
420,180,16,-15,6501
420,180,-45,-25,6502
420,180,-9,-9,6503
420,180,23,-15,6504
480,180,14,-14,6501
480,180,-34,-29,6502
480,180,-9,-9,6503
480,180,16,-15,6504
540,180,13,-12,6501
540,180,-18,-32,6502
540,180,-10,-10,6503
540,180,8,-16,6504
600,180,11,-11,6501
600,180,-0,-34,6502
600,180,-11,-11,6503
600,180,0,-16,6504
660,180,10,-10,6501
660,180,18,-32,6502
660,180,-13,-12,6503
660,180,-8,-16,6504
720,180,9,-9,6501
720,180,34,-29,6502
720,180,-14,-14,6503
720,180,-16,-15,6504
780,180,9,-9,6501
780,180,45,-25,6502
780,180,-16,-15,6503
780,180,-23,-15,6504
840,180,8,-8,6501
840,180,53,-22,6502
840,180,-18,-18,6503
840,180,-30,-14,6504
900,180,8,-8,6501
900,180,59,-19,6502
900,180,-22,-20,6503
900,180,-36,-13,6504
960,180,7,-7,6501
960,180,63,-17,6502
960,180,-27,-24,6503
960,180,-41,-12,6504
1020,180,7,-7,6501
1020,180,67,-15,6502
1020,180,-34,-29,6503
1020,180,-45,-11,6504
1080,180,6,-6,6501
1080,180,69,-13,6502
1080,180,-45,-35,6503
1080,180,-49,-11,6504
120,240,27,-42,6501
120,240,-63,-13,6502
120,240,-3,-6,6503
120,240,53,-11,6504
180,240,18,-32,6501
180,240,-60,-14,6502
180,240,-3,-7,6503
180,240,49,-12,6504
240,240,14,-26,6501
240,240,-56,-16,6502
240,240,-4,-7,6503
240,240,45,-13,6504
300,240,11,-21,6501
300,240,-51,-17,6502
300,240,-4,-8,6503
300,240,40,-14,6504
360,240,9,-18,6501
360,240,-45,-19,6502
360,240,-4,-8,6503
360,240,34,-16,6504
420,240,8,-16,6501
420,240,-37,-22,6502
420,240,-4,-9,6503
420,240,27,-17,6504
480,240,7,-14,6501
480,240,-27,-24,6502
480,240,-5,-9,6503
480,240,18,-18,6504
540,240,6,-12,6501
540,240,-14,-26,6502
540,240,-5,-10,6503
540,240,9,-18,6504
600,240,6,-11,6501
600,240,-0,-27,6502
600,240,-6,-11,6503
600,240,0,-18,6504
660,240,5,-10,6501
660,240,14,-26,6502
660,240,-6,-12,6503
660,240,-9,-18,6504
720,240,5,-9,6501
720,240,27,-24,6502
720,240,-7,-14,6503
720,240,-18,-18,6504
780,240,4,-9,6501
780,240,37,-22,6502
780,240,-8,-16,6503
780,240,-27,-17,6504
840,240,4,-8,6501
840,240,45,-19,6502
840,240,-9,-18,6503
840,240,-34,-16,6504
900,240,4,-8,6501
900,240,51,-17,6502
900,240,-11,-21,6503
900,240,-40,-14,6504
960,240,4,-7,6501
960,240,56,-16,6502
960,240,-14,-26,6503
960,240,-45,-13,6504
1020,240,3,-7,6501
1020,240,60,-14,6502
1020,240,-18,-32,6503
1020,240,-49,-12,6504
1080,240,3,-6,6501
1080,240,63,-13,6502
1080,240,-27,-42,6503
1080,240,-53,-11,6504
120,300,0,-45,6501
120,300,-58,-12,6502
120,300,-0,-6,6503
120,300,58,-12,6504
180,300,0,-34,6501
180,300,-54,-13,6502
180,300,-0,-7,6503
180,300,54,-13,6504
240,300,0,-27,6501
240,300,-50,-14,6502
240,300,-0,-7,6503
240,300,50,-14,6504
300,300,0,-22,6501
300,300,-45,-16,6502
300,300,-0,-8,6503
300,300,45,-16,6504
360,300,0,-18,6501
360,300,-39,-17,6502
360,300,-0,-8,6503
360,300,39,-17,6504
420,300,0,-16,6501
420,300,-31,-19,6502
420,300,-0,-9,6503
420,300,31,-19,6504
480,300,0,-14,6501
480,300,-22,-20,6502
480,300,-0,-9,6503
480,300,22,-20,6504
540,300,0,-13,6501
540,300,-11,-21,6502
540,300,-0,-10,6503
540,300,11,-21,6504
600,300,0,-11,6501
600,300,-0,-22,6502
600,300,-0,-11,6503
600,300,0,-22,6504
660,300,0,-10,6501
660,300,11,-21,6502
660,300,-0,-13,6503
660,300,-11,-21,6504
720,300,0,-9,6501
720,300,22,-20,6502
720,300,-0,-14,6503
720,300,-22,-20,6504
780,300,0,-9,6501
780,300,31,-19,6502
780,300,-0,-16,6503
780,300,-31,-19,6504
840,300,0,-8,6501
840,300,39,-17,6502
840,300,-0,-18,6503
840,300,-39,-17,6504
900,300,0,-8,6501
900,300,45,-16,6502
900,300,-0,-22,6503
900,300,-45,-16,6504
960,300,0,-7,6501
960,300,50,-14,6502
960,300,-0,-27,6503
960,300,-50,-14,6504
1020,300,0,-7,6501
1020,300,54,-13,6502
1020,300,-0,-34,6503
1020,300,-54,-13,6504
1080,300,0,-6,6501
1080,300,58,-12,6502
1080,300,-0,-45,6503
1080,300,-58,-12,6504
120,360,-27,-42,6501
120,360,-53,-11,6502
120,360,3,-6,6503
120,360,63,-13,6504
180,360,-18,-32,6501
180,360,-49,-12,6502
180,360,3,-7,6503
180,360,60,-14,6504
240,360,-14,-26,6501
240,360,-45,-13,6502
240,360,4,-7,6503
240,360,56,-16,6504
300,360,-11,-21,6501
300,360,-40,-14,6502
300,360,4,-8,6503
300,360,51,-17,6504
360,360,-9,-18,6501
360,360,-34,-16,6502
360,360,4,-8,6503
360,360,45,-19,6504
420,360,-8,-16,6501
420,360,-27,-17,6502
420,360,4,-9,6503
420,360,37,-22,6504
480,360,-7,-14,6501
480,360,-18,-18,6502
480,360,5,-9,6503
480,360,27,-24,6504
540,360,-6,-12,6501
540,360,-9,-18,6502
540,360,5,-10,6503
540,360,14,-26,6504
600,360,-6,-11,6501
600,360,-0,-18,6502
600,360,6,-11,6503
600,360,0,-27,6504
660,360,-5,-10,6501
660,360,9,-18,6502
660,360,6,-12,6503
660,360,-14,-26,6504
720,360,-5,-9,6501
720,360,18,-18,6502
720,360,7,-14,6503
720,360,-27,-24,6504
780,360,-4,-9,6501
780,360,27,-17,6502
780,360,8,-16,6503
780,360,-37,-22,6504
840,360,-4,-8,6501
840,360,34,-16,6502
840,360,9,-18,6503
840,360,-45,-19,6504
900,360,-4,-8,6501
900,360,40,-14,6502
900,360,11,-21,6503
900,360,-51,-17,6504
960,360,-4,-7,6501
960,360,45,-13,6502
960,360,14,-26,6503
960,360,-56,-16,6504
1020,360,-3,-7,6501
1020,360,49,-12,6502
1020,360,18,-32,6503
1020,360,-60,-14,6504
1080,360,-3,-6,6501
1080,360,53,-11,6502
1080,360,27,-42,6503
1080,360,-63,-13,6504
120,420,-45,-35,6501
120,420,-49,-11,6502
120,420,6,-6,6503
120,420,69,-13,6504
180,420,-34,-29,6501
180,420,-45,-11,6502
180,420,7,-7,6503
180,420,67,-15,6504
240,420,-27,-24,6501
240,420,-41,-12,6502
240,420,7,-7,6503
240,420,63,-17,6504
300,420,-22,-20,6501
300,420,-36,-13,6502
300,420,8,-8,6503
300,420,59,-19,6504
360,420,-18,-18,6501
360,420,-30,-14,6502
360,420,8,-8,6503
360,420,53,-22,6504
420,420,-16,-15,6501
420,420,-23,-15,6502
420,420,9,-9,6503
420,420,45,-25,6504
480,420,-14,-14,6501
480,420,-16,-15,6502
480,420,9,-9,6503
480,420,34,-29,6504
540,420,-13,-12,6501
540,420,-8,-16,6502
540,420,10,-10,6503
540,420,18,-32,6504
600,420,-11,-11,6501
600,420,-0,-16,6502
600,420,11,-11,6503
600,420,0,-34,6504
660,420,-10,-10,6501
660,420,8,-16,6502
660,420,13,-12,6503
660,420,-18,-32,6504
720,420,-9,-9,6501
720,420,16,-15,6502
720,420,14,-14,6503
720,420,-34,-29,6504
780,420,-9,-9,6501
780,420,23,-15,6502
780,420,16,-15,6503
780,420,-45,-25,6504
840,420,-8,-8,6501
840,420,30,-14,6502
840,420,18,-18,6503
840,420,-53,-22,6504
900,420,-8,-8,6501
900,420,36,-13,6502
900,420,22,-20,6503
900,420,-59,-19,6504
960,420,-7,-7,6501
960,420,41,-12,6502
960,420,27,-24,6503
960,420,-63,-17,6504
1020,420,-7,-7,6501
1020,420,45,-11,6502
1020,420,34,-29,6503
1020,420,-67,-15,6504
1080,420,-6,-6,6501
1080,420,49,-11,6502
1080,420,45,-35,6503
1080,420,-69,-13,6504
120,480,-56,-29,6501
120,480,-45,-10,6502
120,480,9,-6,6503
120,480,76,-14,6504
180,480,-45,-25,6501
180,480,-41,-11,6502
180,480,10,-7,6503
180,480,74,-15,6504
240,480,-37,-22,6501
240,480,-37,-11,6502
240,480,11,-7,6503
240,480,72,-18,6504
300,480,-31,-19,6501
300,480,-32,-12,6502
300,480,11,-7,6503
300,480,68,-20,6504
360,480,-27,-17,6501
360,480,-27,-13,6502
360,480,12,-8,6503
360,480,63,-24,6504
420,480,-23,-15,6501
420,480,-21,-13,6502
420,480,13,-9,6503
420,480,56,-29,6504
480,480,-21,-13,6501
480,480,-14,-14,6502
480,480,14,-9,6503
480,480,45,-35,6504
540,480,-18,-12,6501
540,480,-7,-14,6502
540,480,15,-10,6503
540,480,27,-42,6504
600,480,-17,-11,6501
600,480,-0,-14,6502
600,480,17,-11,6503
600,480,0,-45,6504
660,480,-15,-10,6501
660,480,7,-14,6502
660,480,18,-12,6503
660,480,-27,-42,6504
720,480,-14,-9,6501
720,480,14,-14,6502
720,480,21,-13,6503
720,480,-45,-35,6504
780,480,-13,-9,6501
780,480,21,-13,6502
780,480,23,-15,6503
780,480,-56,-29,6504
840,480,-12,-8,6501
840,480,27,-13,6502
840,480,27,-17,6503
840,480,-63,-24,6504
900,480,-11,-7,6501
900,480,32,-12,6502
900,480,31,-19,6503
900,480,-68,-20,6504
960,480,-11,-7,6501
960,480,37,-11,6502
960,480,37,-22,6503
960,480,-72,-18,6504
1020,480,-10,-7,6501
1020,480,41,-11,6502
1020,480,45,-25,6503
1020,480,-74,-15,6504
1080,480,-9,-6,6501
1080,480,45,-10,6502
1080,480,56,-29,6503
1080,480,-76,-14,6504